group,tag,DICOM tag name,action,notes
0008,0050,AccessionNumber,hash
0018,4000,AcquisitionComments,keep
0040,0555,AcquisitionContextSeq,remove
0008,0022,AcquisitionDate,incrementdate
0008,002a,AcquisitionDateTime,incrementdatetime
0018,1400,AcquisitionDeviceProcessingDescription,keep
0018,9424,AcquisitionProtocolDescription,keep
0008,0032,AcquisitionTime,keep
0040,4035,ActualHumanPerformersSequence,remove
0010,21b0,AdditionalPatientHistory,keep
0038,0010,AdmissionID,remove
0038,0020,AdmittingDate,incrementdate
0008,1084,AdmittingDiagnosesCodeSeq,keep
0008,1080,AdmittingDiagnosesDescription,keep
0038,0021,AdmittingTime,keep
0010,2110,Allergies,keep
4000,0010,Arbitrary,remove
0040,a078,AuthorObserverSequence,remove
0013,0010,BlockOwner,always,CTP
0018,0015,BodyPartExamined,always,BODYPART
0010,1081,BranchOfService,remove
0028,0301,BurnedInAnnotation,keep
0018,1007,CassetteID,keep
0040,0280,CommentsOnPPS,keep
0020,9161,ConcatenationUID,hashuid
0040,3001,ConfidentialityPatientData,remove
0070,0086,ContentCreatorsIdCodeSeq,remove
0070,0084,ContentCreatorsName,empty
0008,0023,ContentDate,incrementdate
0040,a730,ContentSeq,remove
0008,0033,ContentTime,keep
0008,010d,ContextGroupExtensionCreatorUID,hashuid
0018,0010,ContrastBolusAgent,keep
0018,a003,ContributionDescription,keep
0010,2150,CountryOfResidence,remove
0008,9123,CreatorVersionUID,hashuid
0038,0300,CurrentPatientLocation,remove
0008,0025,CurveDate,incrementdate
0008,0035,CurveTime,keep
0040,a07c,CustodialOrganizationSeq,remove
fffc,fffc,DataSetTrailingPadding,remove
0018,1200,DateofLastCalibration,incrementdate
0018,700c,DateofLastDetectorCalibration,incrementdate
0018,1012,DateOfSecondaryCapture,incrementdate, CIM*
0012,0063,DeIdentificationMethod,always,{Per DICOM PS 3.15 AnnexE} CIM*
0012,0064,DeIdentificationMethodCodeSequence,always,113100/113101/113105/... CIM*
0012,0062,PatientIdentityRemoved,always,YES CIM*
0012,0020,Clinical Trial Protocol ID,always,ProjectName CIM*
0012,0021,Clinical Trial Protocol Name,always,ProjectName CIM*
0012,0040,Clinical Trial Subject ID,always,PatientID CIM*
0012,0050,Clinical Trial Time Point ID,always,EventName CIM*
0012,0051,Clinical Trial Time Point Description,always,EventName CIM*
0008,2111,DerivationDescription,keep
0018,700a,DetectorID,keep
0018,1000,DeviceSerialNumber,keep
0018,1002,DeviceUID,keep
fffa,fffa,DigitalSignaturesSeq,remove
0400,0100,DigitalSignatureUID,remove
0020,9164,DimensionOrganizationUID,hashuid
0038,0040,DischargeDiagnosisDescription,keep
4008,011a,DistributionAddress,remove
4008,0119,DistributionName,remove
300a,0013,DoseReferenceUID,hashuid
0010,2160,EthnicGroup,keep
0008,0058,FailedSOPInstanceUIDList,hashuid
0070,031a,FiducialUID,hashuid
0040,2017,FillerOrderNumber,empty
0020,9158,FrameComments,keep
0020,0052,FrameOfReferenceUID,hashuid+PROJECTNAME
0018,1008,GantryID,keep
0018,1005,GeneratorID,keep
0040,4037,HumanPerformersName,remove
0040,4036,HumanPerformersOrganization,remove
0088,0200,IconImageSequence,remove
0008,4000,IdentifyingComments,keep
0020,4000,ImageComments,keep
0028,4000,ImagePresentationComments,remove
0040,2400,ImagingServiceRequestComments,keep
4008,0300,Impressions,keep
0008,0012,InstanceCreationDate,incrementdate
0008,0014,InstanceCreatorUID,hashuid
0008,0081,InstitutionAddress,remove
0008,1040,InstitutionalDepartmentName,remove
0008,0082,InstitutionCodeSequence,remove
0008,0080,InstitutionName,always,ProjectName CIM*
0010,1050,InsurancePlanIdentification,remove
0040,1011,IntendedRecipientsOfResultsIDSequence,remove
4008,0111,InterpretationApproverSequence,remove
4008,010c,InterpretationAuthor,remove
4008,0115,InterpretationDiagnosisDescription,keep
4008,0202,InterpretationIdIssuer,remove
4008,0102,InterpretationRecorder,remove
4008,010b,InterpretationText,keep
4008,010a,InterpretationTranscriber,remove
0008,3010,IrradiationEventUID,hashuid
0038,0011,IssuerOfAdmissionID,remove
0010,0021,IssuerOfPatientID,remove
0038,0061,IssuerOfServiceEpisodeId,remove
0028,1214,LargePaletteColorLUTUid,hashuid
0010,21d0,LastMenstrualDate,incrementdate
0028,0303,LongitudinalTemporalInformationModified,always,MODIFIED
0400,0404,MAC,remove
0008,0070,Manufacturer,keep
0008,1090,ManufacturerModelName,keep
0010,2000,MedicalAlerts,keep
0010,1090,MedicalRecordLocator,remove
0010,1080,MilitaryRank,remove
0400,0550,ModifiedAttributesSequence,remove
0020,3406,ModifiedImageDescription,remove
0020,3401,ModifyingDeviceID,remove
0020,3404,ModifyingDeviceManufacturer,remove
0008,1060,NameOfPhysicianReadingStudy,remove
0040,1010,NamesOfIntendedRecipientsOfResults,remove
0010,2180,Occupation,keep
0008,1070,OperatorName,remove
0008,1072,OperatorsIdentificationSeq,remove
0040,2010,OrderCallbackPhoneNumber,remove
0040,2008,OrderEnteredBy,remove
0040,2009,OrderEntererLocation,remove
0400,0561,OriginalAttributesSequence,remove
0010,1000,OtherPatientIDs,remove
0010,1002,OtherPatientIDsSeq,remove
0010,1001,OtherPatientNames,remove
0008,0024,OverlayDate,incrementdate
0008,0034,OverlayTime,keep
0028,1199,PaletteColorLUTUID,hashuid
0040,a07a,ParticipantSequence,remove
0010,1040,PatientAddress,remove
0010,1010,PatientAge,keep
0010,0030,PatientBirthDate,empty
0010,1005,PatientBirthName,remove
0010,0032,PatientBirthTime,remove
0010,4000,PatientComments,keep
0010,0020,PatientID,always,Re-Mapped CIM*
0038,0400,PatientInstitutionResidence,remove
0010,0050,PatientInsurancePlanCodeSeq,remove
0010,1060,PatientMotherBirthName,remove
0010,0010,PatientName,always,Re-Mapped CIM*
0010,2154,PatientPhoneNumbers,remove
0010,0101,PatientPrimaryLanguageCodeSeq,remove
0010,0102,PatientPrimaryLanguageModifierCodeSeq,remove
0010,21f0,PatientReligiousPreference,remove
0010,0040,PatientSex,keep
0010,2203,PatientSexNeutered,keep
0010,1020,PatientSize,keep
0038,0500,PatientState,keep
0040,1004,PatientTransportArrangements,remove
0010,1030,PatientWeight,keep
0040,0243,PerformedLocation,remove
0040,0241,PerformedStationAET,keep
0040,0244,PerformedProcedureStepStartDate,incrementdate
0040,4030,PerformedStationGeoLocCodeSeq,keep
0040,0242,PerformedStationName,keep
0040,4028,PerformedStationNameCodeSeq,keep
0008,1052,PerformingPhysicianIdSeq,remove
0008,1050,PerformingPhysicianName,remove
0040,0250,PerformProcedureStepEndDate,incrementdate
0040,1102,PersonAddress,remove
0040,1101,PersonIdCodeSequence,remove
0040,a123,PersonName,empty
0040,1103,PersonTelephoneNumbers,remove
4008,0114,PhysicianApprovingInterpretation,remove
0008,1048,PhysicianOfRecord,remove
0008,1049,PhysicianOfRecordIdSeq,remove
0008,1062,PhysicianReadingStudyIdSeq,remove
0040,2016,PlaceOrderNumberOfImagingServiceReq,empty
0018,1004,PlateID,keep
0040,0254,PPSDescription,keep
0040,0253,PPSID,remove
0040,0244,PPSStartDate,incrementdate
0040,0245,PPSStartTime,keep
0010,21c0,PregnancyStatus,keep
0040,0012,PreMedication,keep
0013,1010,ProjectName,always
0018,1030,ProtocolName,keep
0054,0016,Radiopharmaceutical Information Sequence,process
0018,1078,Radiopharmaceutical Start DateTime,incrementdatetime
0018,1079,Radiopharmaceutical Stop DateTime,incrementdatetime
0040,2001,ReasonForImagingServiceRequest,keep
0032,1030,ReasonforStudy,keep
0400,0402,RefDigitalSignatureSeq,remove
3006,0024,ReferencedFrameOfReferenceUID,hashuid+PROJECTNAME
0038,0004,ReferencedPatientAliasSeq,remove
0008,0092,ReferringPhysicianAddress,remove
0008,0090,ReferringPhysicianName,empty, CIM*
0008,0094,ReferringPhysicianPhoneNumbers,remove
0008,0096,ReferringPhysiciansIDSeq,remove
0040,4023,RefGenPurposeSchedProcStepTransUID,hashuid
0008,1120,RefPatientSeq,remove
0008,1111,RefPPSSeq,remove
0008,1150,RefSOPClassUID,keep
0400,0403,RefSOPInstanceMACSeq,remove
0008,1155,RefSOPInstanceUID,hashuid+PROJECTNAME
0010,2152,RegionOfResidence,remove
3006,00c2,RelatedFrameOfReferenceUID,hashuid+PROJECTNAME
0040,0275,RequestAttributesSeq,remove
0032,1070,RequestedContrastAgent,keep
0040,1400,RequestedProcedureComments,keep
0032,1060,RequestedProcedureDescription,keep
0040,1001,RequestedProcedureID,remove
0040,1005,RequestedProcedureLocation,remove
0032,1032,RequestingPhysician,remove
0032,1033,RequestingService,remove
0010,2299,ResponsibleOrganization,remove
0010,2297,ResponsiblePerson,remove
4008,4000,ResultComments,keep
4008,0118,ResultsDistributionListSeq,remove
4008,0042,ResultsIDIssuer,remove
300e,0008,ReviewerName,remove
0040,4034,ScheduledHumanPerformersSeq,remove
0038,001e,ScheduledPatientInstitutionResidence,remove
0040,000b,ScheduledPerformingPhysicianIDSeq,remove
0040,0006,ScheduledPerformingPhysicianName,remove
0040,0001,ScheduledStationAET,keep
0040,4027,ScheduledStationGeographicLocCodeSeq,keep
0040,0010,ScheduledStationName,keep
0040,4025,ScheduledStationNameCodeSeq,keep
0032,1020,ScheduledStudyLocation,keep
0032,1021,ScheduledStudyLocationAET,keep
0032,1000,ScheduledStudyStartDate,incrementdate
0008,0021,SeriesDate,incrementdate
0008,103e,SeriesDescription,keep
0020,000e,SeriesInstanceUID,hashuid+PROJECTNAME
0008,0031,SeriesTime,keep
0038,0062,ServiceEpisodeDescription,keep
0038,0060,ServiceEpisodeID,remove
0013,1013,SiteID,always,SITEID
0013,1012,SiteName,always,SITENAME
0010,21a0,SmokingStatus,keep
0018,1020,SoftwareVersion,keep
0008,0018,SOPInstanceUID,hashuid+PROJECTNAME
0008,2112,SourceImageSeq,remove
0038,0050,SpecialNeeds,keep
0040,0007,SPSDescription,keep
0040,0004,SPSEndDate,incrementdate
0040,0005,SPSEndTime,keep
0040,0011,SPSLocation,keep
0040,0002,SPSStartDate,incrementdate
0040,0003,SPSStartTime,keep
0008,1010,StationName,remove
0088,0140,StorageMediaFilesetUID,hashuid
3006,0008,StructureSetDate,incrementdate
0032,1040,StudyArrivalDate,incrementdate
0032,4000,StudyComments,keep
0032,1050,StudyCompletionDate,incrementdate
0008,0020,StudyDate,incrementdate, CIM*
0008,1030,StudyDescription,keep
0020,0010,StudyID,hash
0032,0012,StudyIDIssuer,remove
0020,000d,StudyInstanceUID,hashuid+PROJECTNAME
0008,0030,StudyTime,keep, CIM*
0020,0200,SynchronizationFrameOfReferenceUID,hashuid
0040,db0d,TemplateExtensionCreatorUID,hashuid
0040,db0c,TemplateExtensionOrganizationUID,hashuid
4000,4000,TextComments,remove
2030,0020,TextString,remove
0008,0201,TimezoneOffsetFromUTC,remove
0088,0910,TopicAuthor,remove
0088,0912,TopicKeyWords,remove
0088,0906,TopicSubject,remove
0088,0904,TopicTitle,remove
0008,1195,TransactionUID,hashuid
0013,1011,TrialName,always,PROJECTNAME
0040,a124,UID,hashuid
0040,a088,VerifyingObserverIdentificationCodeSeq,remove
0040,a075,VerifyingObserverName,empty
0040,a073,VerifyingObserverSequence,remove
0040,a027,VerifyingOrganization,remove
0038,4000,VisitComments,keep
0033,1013,MITRA OBJECT UTF8 ATTRIBUTES 1.0,remove
0033,1016,MITRA OBJECT UTF8 ATTRIBUTES 1.0,remove
0033,1019,MITRA OBJECT UTF8 ATTRIBUTES 1.0,remove
0033,101c,MITRA OBJECT UTF8 ATTRIBUTES 1.0,remove
0009,1001,SectraIdentRequestID,remove
0009,1002,SectraIdentExaminationID,remove
0071,1022,SIEMENS MED PT,incrementdatetime
